Region,IncomeGroup,Country
Latin America & Caribbean,High income,Aruba
Europe & Central Asia,High income,Netherlands
Europe & Central Asia,High income,United Kingdom
Europe & Central Asia,High income,Norway
Europe & Central Asia,High income,Faroe Islands
Europe & Central Asia,High income,France
East Asia & Pacific,High income,New Zealand
Europe & Central Asia,High income,Finland
Middle East & North Africa,High income,Oman
Europe & Central Asia,High income,Estonia
Europe & Central Asia,High income,Spain
Latin America & Caribbean,High income,Panama
East Asia & Pacific,High income,Palau
Europe & Central Asia,High income,Poland
Latin America & Caribbean,High income,Puerto Rico
Europe & Central Asia,High income,Denmark
Latin America & Caribbean,High income,St. Kitts and Nevis
Europe & Central Asia,High income,Germany
Europe & Central Asia,High income,Czech Republic
Europe & Central Asia,High income,Cyprus
East Asia & Pacific,High income,New Caledonia
Europe & Central Asia,High income,Gibraltar
East Asia & Pacific,High income,Northern Mariana Islands
Europe & Central Asia,High income,Greece
Middle East & North Africa,High income,Kuwait
Europe & Central Asia,High income,Liechtenstein
Europe & Central Asia,High income,Lithuania
East Asia & Pacific,High income,Japan
Europe & Central Asia,High income,Luxembourg
Europe & Central Asia,High income,Latvia
Europe & Central Asia,High income,Italy
Middle East & North Africa,High income,Israel
Europe & Central Asia,High income,Iceland
Latin America & Caribbean,High income,Cayman Islands
East Asia & Pacific,High income,"Macao SAR, China"
Europe & Central Asia,High income,Ireland
Europe & Central Asia,High income,Monaco
Europe & Central Asia,High income,Isle of Man
Europe & Central Asia,High income,Hungary
Europe & Central Asia,High income,Croatia
East Asia & Pacific,High income,"Hong Kong SAR, China"
East Asia & Pacific,High income,Guam
Middle East & North Africa,High income,Malta
Europe & Central Asia,High income,Greenland
Latin America & Caribbean,High income,St. Martin (French part)
Latin America & Caribbean,High income,Curaçao
Europe & Central Asia,High income,Portugal
Middle East & North Africa,High income,Qatar
Latin America & Caribbean,High income,Turks and Caicos Islands
North America,High income,Bermuda
East Asia & Pacific,High income,French Polynesia
Latin America & Caribbean,High income,"Bahamas, The"
Middle East & North Africa,High income,Bahrain
Latin America & Caribbean,High income,Trinidad and Tobago
Latin America & Caribbean,High income,Uruguay
Europe & Central Asia,High income,Belgium
North America,High income,United States
Europe & Central Asia,High income,Austria
East Asia & Pacific,High income,Australia
Latin America & Caribbean,High income,Antigua and Barbuda
Latin America & Caribbean,High income,British Virgin Islands
Latin America & Caribbean,High income,Argentina
Middle East & North Africa,High income,United Arab Emirates
Europe & Central Asia,High income,Andorra
Latin America & Caribbean,High income,Virgin Islands (U.S.)
Sub-Saharan Africa,High income,Seychelles
Latin America & Caribbean,High income,Barbados
East Asia & Pacific,High income,"Korea, Rep."
East Asia & Pacific,High income,Brunei Darussalam
Middle East & North Africa,High income,Saudi Arabia
East Asia & Pacific,High income,Singapore
Europe & Central Asia,High income,San Marino
Europe & Central Asia,High income,Slovak Republic
Europe & Central Asia,High income,Channel Islands
Europe & Central Asia,High income,Switzerland
North America,High income,Canada
Latin America & Caribbean,High income,Chile
Latin America & Caribbean,High income,Sint Maarten (Dutch part)
Europe & Central Asia,High income,Sweden
Europe & Central Asia,High income,Slovenia
Europe & Central Asia,Upper middle income,Montenegro
Sub-Saharan Africa,Upper middle income,South Africa
Middle East & North Africa,Upper middle income,Libya
Latin America & Caribbean,Upper middle income,St. Lucia
East Asia & Pacific,Upper middle income,Samoa
Europe & Central Asia,Upper middle income,Romania
Europe & Central Asia,Upper middle income,Russian Federation
Latin America & Caribbean,Upper middle income,Paraguay
Latin America & Caribbean,Upper middle income,"Venezuela, RB"
East Asia & Pacific,Upper middle income,Thailand
Europe & Central Asia,Upper middle income,Serbia
Latin America & Caribbean,Upper middle income,Suriname
Sub-Saharan Africa,Upper middle income,Namibia
Latin America & Caribbean,Upper middle income,Peru
South Asia,Upper middle income,Maldives
East Asia & Pacific,Upper middle income,Nauru
Latin America & Caribbean,Upper middle income,Mexico
East Asia & Pacific,Upper middle income,Tuvalu
East Asia & Pacific,Upper middle income,Marshall Islands
Europe & Central Asia,Upper middle income,Turkey
Europe & Central Asia,Upper middle income,North Macedonia
East Asia & Pacific,Upper middle income,Malaysia
Sub-Saharan Africa,Upper middle income,Mauritius
Europe & Central Asia,Upper middle income,Turkmenistan
Latin America & Caribbean,Upper middle income,St. Vincent and the Grenadines
East Asia & Pacific,Upper middle income,Tonga
Middle East & North Africa,Upper middle income,Lebanon
Latin America & Caribbean,Upper middle income,Belize
Latin America & Caribbean,Upper middle income,Guatemala
Europe & Central Asia,Upper middle income,Belarus
Latin America & Caribbean,Upper middle income,Grenada
Latin America & Caribbean,Upper middle income,Dominican Republic
Sub-Saharan Africa,Upper middle income,Equatorial Guinea
Latin America & Caribbean,Upper middle income,Brazil
Sub-Saharan Africa,Upper middle income,Botswana
East Asia & Pacific,Upper middle income,China
Sub-Saharan Africa,Upper middle income,Gabon
East Asia & Pacific,Upper middle income,Fiji
Latin America & Caribbean,Upper middle income,Colombia
Latin America & Caribbean,Upper middle income,Costa Rica
Latin America & Caribbean,Upper middle income,Cuba
Latin America & Caribbean,Upper middle income,Ecuador
Middle East & North Africa,Upper middle income,Algeria
